,0
0,0.086610581
1,0.016139672
2,-0.043031237
3,0.049012399
4,-0.014267601
5,-0.150689419
6,-0.009542146
7,-0.088025783
8,-0.159934874
9,0.037917854
10,-0.021253055
11,-0.045496692
12,0.091130581
13,0.081474217
14,0.008126945
15,0.092568763
16,-0.058440328
17,-0.039127601
18,0.117839672
19,-0.119049419
20,0.06668149
21,0.083528763
22,-0.031320328
23,0.133248763
24,0.011208763
25,0.043054217
26,0.056614217
27,0.009154217
28,-0.089874874
29,-0.015294874
30,-0.048373055
31,-0.164454874
32,0.035452399
33,-0.156853055
34,-0.005433055
35,0.017783308
36,-0.092134874
37,0.038123308
38,-0.108776692
39,-0.079396692
40,-0.114734874
41,0.024563308
42,-0.031936692
43,-0.05761851
44,0.126263308
45,0.040588763
46,0.120305126
47,0.052710581
48,0.103457854
49,0.053532399
50,-0.083094874
51,0.071406945
52,-0.024540328
53,-0.042620328
54,0.009770581
55,0.073666945
56,0.067297854
57,0.033192399
58,0.063394217
59,0.049217854
60,0.099348763
61,-0.146991237
62,-0.005433055
63,0.046136036
64,-0.176165783
65,0.047368763
66,-0.033991237
67,-0.050633055
68,0.029083308
69,-0.007282146
70,0.012852399
71,-0.06213851
72,-0.08473851
73,-0.077547601
74,-0.043853055
75,-0.025773055
76,-0.045907601
77,0.03730149
78,0.068325126
79,0.050245126
80,0.085172399
81,0.099554217
82,0.076543308
83,0.010797854
84,-0.003789419
85,0.014906945
86,-0.017349419
87,0.007716036
88,0.094006945
89,-0.068302146
90,-0.02371851
91,0.105923308
92,-0.070767601
93,-0.052687601
94,-0.021663965
95,-0.030293055
96,-0.086793055
97,-0.101585783
98,-0.081040328
99,-0.066042146
100,-0.027622146
101,-0.089874874
102,0.053326945
103,-0.114323965
104,-0.041182146
105,0.085172399
106,-0.149045783
107,0.062777854
108,-0.040771237
109,-0.004200328
110,0.061545126
111,0.024974217
112,0.033603308
113,-0.008103965
114,0.131194217
115,-0.128500328
116,0.083117854
117,0.011825126
118,-0.170207601
119,0.227757854
120,-0.011596692
121,-0.037894874
122,0.100992399
123,0.056819672
124,0.030932399
125,-0.031936692
126,0.069763308
127,-0.035840328
128,0.019632399
129,-0.034607601
130,-0.008925783
131,0.07120149
132,-0.12993851
133,0.136125126
134,-0.038100328
135,-0.028649419
136,0.101608763
137,-0.155620328
138,0.01244149
139,-0.02145851
140,-0.099531237
141,-0.072411237
142,0.048396036
143,-0.036867601
144,0.001552399
145,0.124003308
